month,revenue,num_orders
2016-09-01,267.36,3
2016-10-01,49507.66,308
2016-12-01,10.9,1
2017-01-01,120312.87,789
2017-02-01,247303.02,1733
2017-03-01,374344.3,2641
2017-04-01,359927.23,2391
2017-05-01,506071.14,3660
2017-06-01,433038.6,3217
2017-07-01,498031.48,3969
2017-08-01,573971.68,4293
2017-09-01,624401.69,4243
2017-10-01,664219.43,4568
2017-11-01,1010271.37,7451
2017-12-01,743914.17,5624
2018-01-01,950030.36,7220
2018-02-01,844178.71,6694
2018-03-01,983213.44,7188
2018-04-01,996647.75,6934
2018-05-01,996517.68,6853
2018-06-01,865124.31,6160
2018-07-01,895507.22,6273
2018-08-01,854686.33,6452
2018-09-01,145.0,1
